ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Height of BLEVE (m),Tank Height with Gas (m), Vapour Temerature (K), Liquid Temerature (K),Status,Stand-off Distance,Target
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,5.0,-0.26099217
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,6.0,-0.23341511
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,7.0,-0.21110891
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,8.0,-0.18262668
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,9.0,-0.17434175
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,10.0,-0.16302291
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,11.0,-0.14618959
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,12.0,-0.13885072
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,13.0,-0.12696883
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,14.0,-0.11389267
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,15.0,-0.10204295
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,16.0,-0.10176591
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,17.0,-0.10029612
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,18.0,-0.095802382
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,19.0,-0.090077668
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,20.0,-0.08381208
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,21.0,-0.086542331
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,22.0,-0.085376419
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,23.0,-0.081387118
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,24.0,-0.076533444
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,25.0,-0.071517065
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,26.0,-0.066655517
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,27.0,-0.062101182
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,28.0,-0.064024605
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,29.0,-0.063704595
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,30.0,-0.061749086
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,31.0,-0.059133198
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,32.0,-0.056335956
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,33.0,-0.053574059
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,34.0,-0.050935958
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,35.0,-0.048438568
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,36.0,-0.046065733
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,37.0,-0.043795895
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,38.0,-0.043926582
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,39.0,-0.043760341
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,40.0,-0.042993464
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,5.0,-0.43632203
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,6.0,-0.38324034
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,7.0,-0.34023735
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,8.0,-0.30704427
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,9.0,-0.27605045
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,10.0,-0.25359446
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,11.0,-0.23057483
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,12.0,-0.21139145
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,13.0,-0.19826005
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,14.0,-0.18447022
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,15.0,-0.1710581
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,16.0,-0.1643687
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,17.0,-0.15628552
