ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Height of BLEVE (m),Tank Height with Gas (m), Vapour Temerature (K), Liquid Temerature (K),Status,Stand-off Distance,Target
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,5.0,196.22571
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,6.0,167.60071
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,7.0,146.46671
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,8.0,130.29674
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,9.0,117.58264
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,10.0,107.27272
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,11.0,98.671837
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,12.0,91.418098
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,13.0,85.208572
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,14.0,79.819206
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,15.0,75.088074
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,16.0,70.898926
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,17.0,67.160088
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,18.0,63.794098
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,19.0,60.74913
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,20.0,57.98008
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,21.0,55.448273
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,22.0,53.12413
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,23.0,50.981972
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,24.0,49.001202
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,25.0,47.165474
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,26.0,45.45961
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,27.0,43.868992
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,28.0,42.381393
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,29.0,40.987103
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,30.0,39.678318
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,31.0,38.447762
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,32.0,37.288242
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,33.0,36.19331
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,34.0,35.157421
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,35.0,34.175877
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,36.0,33.244785
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,37.0,32.360828
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,38.0,31.521034
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,39.0,30.723022
B1,24.5,0.519805,2.2,6.0,1.0,1.6,0.4,307.8,339.0,Subcooled,40.0,29.965202
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,5.0,523.34827
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,6.0,452.79263
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,7.0,396.24847
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,8.0,351.00385
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,9.0,314.40106
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,10.0,284.28479
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,11.0,259.26291
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,12.0,238.16235
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,13.0,220.12041
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,14.0,204.53755
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,15.0,190.95467
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,16.0,179.00804
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,17.0,168.41841
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,18.0,158.9767
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,19.0,150.49193
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,20.0,142.8157
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,21.0,135.86562
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,22.0,129.55527
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,23.0,123.7727
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,24.0,118.44843
B2,30.3,0.5777971000000001,1.4,8.8,2.4000000000000004,0.6000000000000001,1.0,382.5,398.7000000000001,Subcooled,25.0,113.55709
