ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Height of BLEVE (m),Tank Height with Gas (m), Vapour Temerature (K), Liquid Temerature (K),Status,Stand-off Distance,Target
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,5.0,-0.23599055
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,6.0,-0.20173086
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,7.0,-0.17850795
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,8.0,-0.15531193
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,9.0,-0.14015087
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,10.0,-0.12691598
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,11.0,-0.11273152
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,12.0,-0.10365014
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,13.0,-0.096462861
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,14.0,-0.089243926
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,15.0,-0.081308879
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,16.0,-0.075084358
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,17.0,-0.07192529
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,18.0,-0.067953274
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,19.0,-0.063782446
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,20.0,-0.059779201
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,21.0,-0.056009848
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,22.0,-0.052718099
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,23.0,-0.050834198
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,24.0,-0.049381964
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,25.0,-0.047471158
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,26.0,-0.045216464
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,27.0,-0.042862836
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,28.0,-0.04061161
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,29.0,-0.038641069
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,30.0,-0.037292853
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,31.0,-0.036526579
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,32.0,-0.035670612
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,33.0,-0.034616414
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,34.0,-0.033431854
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,35.0,-0.0322005
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,36.0,-0.030989578
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,37.0,-0.029849751
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,38.0,-0.028822362
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,39.0,-0.027944956
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,40.0,-0.027236167
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,5.0,-0.28826928
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,6.0,-0.26561087
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,7.0,-0.23630743
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,8.0,-0.21002236
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,9.0,-0.19971113
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,10.0,-0.18369502
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,11.0,-0.16514358
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,12.0,-0.14939144
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,13.0,-0.14353214
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,14.0,-0.13441709
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,15.0,-0.12530644
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,16.0,-0.11762097
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,17.0,-0.11057235
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,18.0,-0.11157212
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,19.0,-0.10844804
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,20.0,-0.10372385
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,21.0,-0.098013751
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,22.0,-0.09169542
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,23.0,-0.085117869
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,24.0,-0.078558974
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,25.0,-0.085149914
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,26.0,-0.088371642
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,27.0,-0.087702714
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,28.0,-0.085642375
B159,16.900000000000002,0.2292738,2.4000000000000004,1.6,2.6,1.2000000000000002,2.2,391.1,410.70000000000005,Superheated,29.0,-0.08312206
