ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Height of BLEVE (m),Tank Height with Gas (m), Vapour Temerature (K), Liquid Temerature (K),Status,Stand-off Distance,Target
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,5,0.009827385999999999
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,6,0.00990626
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,7,0.009969695
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,8,0.010038533
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,9,0.010010654
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,10,0.010086748
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,11,0.010128186
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,12,0.010134392
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,13,0.010104262
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,14,0.01020639
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,15,0.010293823
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,16,0.010262836
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,17,0.010230813
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,18,0.010249235
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,19,0.01031556
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,20,0.01040369999999999
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,21,0.010455952
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,22,0.010441378
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,23,0.01039615300000001
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,24,0.01035902699999999
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,25,0.01320843300000001
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,26,0.01351358700000001
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,27,0.01374629100000001
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,28,0.013892688
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,29,0.013947114
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,30,0.013970464
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,31,0.013981983
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,32,0.014002051
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,33,0.014061474
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,34,0.01416142599999999
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,35,0.014278157
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,36,0.01439087999999999
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,37,0.01446971999999999
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,38,0.0145039
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,39,0.01452065
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,1,40,0.01451713999999998
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,5,0.020169055
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,6,0.020083511
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,7,0.020070672
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,8,0.019746985
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,9,0.019798167
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,10,0.019929152
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,11,0.019518669
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,12,0.019671023
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,13,0.01975103399999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,14,0.01926244
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,15,0.019443869
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,16,0.01993837899999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,17,0.020087626
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,18,0.01997864199999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,19,0.019093294
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,20,0.01917052700000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,21,0.01946350600000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,22,0.01996732500000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,23,0.020580053
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,24,0.02073969000000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,25,0.020487718
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,26,0.01975534900000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,27,0.01953577999999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,28,0.01952667500000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,29,0.019571923
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,30,0.019754702
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,31,0.020210042
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,32,0.02083080799999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,33,0.02116900000000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,34,0.021109434
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,35,0.02085041999999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,36,0.02054535999999998
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,37,0.020319
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,38,0.02018112
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,39,0.02010415999999998
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,1,40,0.02006163999999999
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,5,0.021375976
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,6,0.021119213
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,7,0.020989696
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,8,0.020671817
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,9,0.020422824
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,10,0.020390249
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,11,0.020448524
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,12,0.019783128
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,13,0.019683112
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,14,0.01982785400000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,15,0.018566076
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,16,0.019125775
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,17,0.019534022
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,18,0.019564774
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,19,0.01927616100000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,20,0.017789651
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,21,0.01813796200000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,22,0.01858947399999999
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,23,0.019302845
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,24,0.01970087700000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,25,0.01954649400000001
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,26,0.018207587
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,27,0.018155222
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,28,0.01817904799999999
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,29,0.018240173
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,30,0.01838366
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,31,0.018639084
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,32,0.019017113
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,0,33,0.01941632700000001
