ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Height of BLEVE (m),Tank Height with Gas (m), Vapour Temerature (K), Liquid Temerature (K),Status,Stand-off Distance,Target
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,5,0.0192270974
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,6,0.021947563
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,7,0.024734897
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,8,0.0275623172
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,9,0.0303779146
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,10,0.0332552992
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,11,0.0361284784
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,12,0.0389813518
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,13,0.0418302818
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,14,0.044737394
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,15,0.0476432322
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,16,0.0505007494
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,17,0.0533662672
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,18,0.056247131
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,19,0.059152077
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,20,0.062068465
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,21,0.0649662658
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,22,0.0678406892
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,23,0.0707017642
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,24,0.07356975980000001
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,25,0.0747657002
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,26,0.0775614618
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,27,0.0804176284
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,28,0.0832713542
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,29,0.0861043406
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,30,0.08892994060000001
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,31,0.0917636902
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,32,0.0946064994
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,33,0.09746839560000001
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,34,0.1003517344
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,35,0.1032491458
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,36,0.106146722
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,37,0.109028718
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,38,0.11189976
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,39,0.11476485
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,40,0.117622896
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,5,0.024852214
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,6,0.0274959214
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,7,0.0301789008
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,8,0.03302359
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,9,0.0358238858
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,10,0.0385794508
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,11,0.0416835926
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,12,0.0443690342
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,13,0.0470338846
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,14,0.050126254
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,15,0.0531398416
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,16,0.0558755816
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,17,0.0585279664
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,18,0.0613089068
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,19,0.0646361476
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,20,0.0674066638
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,21,0.0700817294
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,22,0.072860096
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,23,0.0757576762
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,24,0.078607489
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,25,0.08151362820000001
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,26,0.08464502659999999
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,27,0.087448241
