ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Height of BLEVE (m),Tank Height with Gas (m), Vapour Temerature (K), Liquid Temerature (K),Status,Stand-off Distance,Target
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,5,105.45327
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,6,89.190781
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,7,77.237755
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,8,68.0858
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,9,60.845432
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,10,54.97916
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,11,50.125553
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,12,46.028419
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,13,42.520039
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,14,39.485867
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,15,36.838055
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,16,34.506985
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,17,32.439335
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,18,30.59333
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,19,28.935534
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,20,27.438543
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,21,26.079905
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,22,24.841553
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,23,23.708342
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,24,22.667933
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,25,21.709167
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,26,20.823021
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,27,20.001709
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,28,19.238247
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,29,18.526735
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,30,17.862453
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,31,17.297062
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,32,16.802855
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,33,16.337923
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,34,15.899812
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,35,15.485997
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,36,15.094495
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,37,14.723352
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,38,14.370919
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,39,14.035819
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,40,13.716722
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,5,233.88737
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,6,200.89095
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,7,176.72458
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,8,158.08723
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,9,143.67703
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,10,131.41473
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,11,121.62984
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,12,113.36529
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,13,105.80595
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,14,99.336731
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,15,94.09874
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,16,89.154602
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,17,84.469177
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,18,80.18734
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,19,76.643341
