ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Height of BLEVE (m),Tank Height with Gas (m), Vapour Temerature (K), Liquid Temerature (K),Status,Stand-off Distance,Target
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,5,0.012166399
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,6,0.014555614
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,7,0.017033789
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,8,0.019575922
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,9,0.0221722
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,10,0.024806183
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,11,0.027472978
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,12,0.030167626
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,13,0.032884248
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,14,0.035613522
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,15,0.038359743
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,16,0.041121226
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,17,0.043885879
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,18,0.046665259
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,19,0.049454432
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,20,0.052248977
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,21,0.055048417
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,22,0.057856023
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,23,0.060665395
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,24,0.063483298
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,25,0.066305131
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,26,0.069128163
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,27,0.071953595
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,28,0.074783266
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,29,0.077612631
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,30,0.080452062
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,31,0.083285697
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,32,0.086125843
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,33,0.088966019
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,34,0.091809958
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,35,0.094653293
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,36,0.097504035
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,37,0.10035077
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,38,0.10320103
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,39,0.10604712
B291,13.6,0.6651195,1.0,4.0,0.8,1.8,0.4,435.0,372.5,Superheated,40,0.10889975
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,5,0.011075448
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,6,0.013266107
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,7,0.015555074
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,8,0.017936308
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,9,0.02038453
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,10,0.022885669
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,11,0.02543352
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,12,0.028015858
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,13,0.030628005
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,14,0.033263475
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,15,0.035922971
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,16,0.0386043
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,17,0.041298252
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,18,0.044006575
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,19,0.046728056
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,20,0.049458724
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,21,0.052201916
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,22,0.054953802
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,23,0.057709165
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,24,0.060476795
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,25,0.063243933
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,26,0.066023275
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,27,0.068805814
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,28,0.071590044
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,29,0.074385755
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,30,0.077180408
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,31,0.079976887
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,32,0.082778499
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,33,0.085584611
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,34,0.088392608
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,35,0.091203541
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,36,0.094015263
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,37,0.096830569
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,38,0.099649288
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,39,0.10246983
B159,16.9,0.2292738,2.4,1.6,2.6,1.2,2.2,391.1,410.7,Superheated,40,0.10529383
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,5,0.011184891
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,6,0.013518093
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,7,0.015947662
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,8,0.018451015
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,9,0.02101188
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,10,0.023611786
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,11,0.026251977
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,12,0.028917534
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,13,0.031612653
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,14,0.03431879
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,15,0.037045032
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,16,0.03978556
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,17,0.042537689
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,18,0.045303203
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,19,0.048070885
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,20,0.050852105
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,21,0.05363794
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,22,0.056425065
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,23,0.059223939
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,24,0.062027603
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,25,0.064831637
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,26,0.067641795
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,27,0.070458874
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,28,0.073275566
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,29,0.076093964
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,30,0.078916311
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,31,0.081743345
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,32,0.084573135
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,33,0.087398715
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,34,0.090234742
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,35,0.093069948
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,36,0.095903829
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,37,0.098741569
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,38,0.10157894
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,39,0.10442154
B70,31.8,0.1390254,3.0,1.6,1.2,1.4,1.0,404.9,339.6,Subcooled,40,0.10726493
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,5,0.010023997
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,6,0.011808599
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,7,0.013671185
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,8,0.01563069
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,9,0.017681893
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,10,0.019822234
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,11,0.022032345
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,12,0.024304114
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,13,0.026632328
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,14,0.029010652
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,15,0.031426724
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,16,0.033878557
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,17,0.036363948
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,18,0.038874868
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,19,0.041415825
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,20,0.043978997
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,21,0.046557605
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,22,0.049156357
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,23,0.051772878
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,24,0.054399613
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,25,0.057039771
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,26,0.059696928
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,27,0.062361207
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,28,0.06503965
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,29,0.067720592
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,30,0.070417047
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,31,0.073119216
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,32,0.075824976
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,33,0.078540824
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,34,0.081268206
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,35,0.083992392
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,36,0.086729728
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,37,0.089467086
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,38,0.092207938
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,39,0.094960555
P18,33.67886,0.5105109999999999,2.6,7.4,1.4,1.6,0.8,325.1,364.8,Superheated,40,0.097711451
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,5,0.008654774
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,6,0.010289241
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,7,0.012007652
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,8,0.01379933
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,9,0.015664628
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,10,0.017624261
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,11,0.019667692
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,12,0.021793658
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,13,0.023987919
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,14,0.026243303
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,15,0.028557856
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,16,0.030917857
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,17,0.033317909
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,18,0.035757855
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,19,0.038225345
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,20,0.040728383
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,21,0.043252431
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,22,0.045806292
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,23,0.048373792
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,24,0.050965689
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,25,0.053576007
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,26,0.056197293
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,27,0.058836069
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,28,0.06148902
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,29,0.064153649
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,30,0.066829205
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,31,0.069514237
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,32,0.072208062
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,33,0.074910678
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,34,0.077624641
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,35,0.080344133
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,36,0.083070286
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,37,0.085804276
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,38,0.088542029
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,39,0.091286205
B132,21.2,0.1050219,1.6,9.600000000000001,2.2,0.6000000000000001,2.0,529.5,306.6,Subcooled,40,0.094039917
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,5,0.012497127
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,6,0.015092124
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,7,0.01775242
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,8,0.020461116
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,9,0.023201436
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,10,0.025964351
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,11,0.02874922
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,12,0.031549919
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,13,0.034366157
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,14,0.0371942
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,15,0.040027373
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,16,0.0428719
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,17,0.045716938
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,18,0.048573807
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,19,0.051428448
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,20,0.054293863
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,21,0.05715885
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,22,0.060028117
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,23,0.06289918
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,24,0.065775283
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,25,0.068651587
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,26,0.071530074
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,27,0.074410327
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,28,0.07729584
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,29,0.080175877
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,30,0.083063424
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,31,0.085946985
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,32,0.088835992
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,33,0.091723256
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,34,0.094615176
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,35,0.097504377
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,36,0.10039528
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,37,0.10328399
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,38,0.10617849
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,39,0.10907073
B45,31.6,0.1344435,1.2,0.6000000000000001,1.0,1.2,0.8,375.2,327.6,Subcooled,40,0.11196449
B71,21.9,0.7827038000000001,0.6000000000000001,5.800000000000001,1.4,1.4,0.4,550.2,327.5,Subcooled,5,0.011679017
B71,21.9,0.7827038000000001,0.6000000000000001,5.800000000000001,1.4,1.4,0.4,550.2,327.5,Subcooled,6,0.014022161
B71,21.9,0.7827038000000001,0.6000000000000001,5.800000000000001,1.4,1.4,0.4,550.2,327.5,Subcooled,7,0.016452774
